id,number,color,rank,3,tank_id,tank_name,tourney_id
398,24,purple,sergeant,,1774,antdoggg,16
399,25,blue,sergeant,,2458,Slight Work,16
400,1,purple,major,,2145,- Ununoctium -,17
401,2,purple,captain,,2822,-1- Scarface,17
402,3,blue,captain,,749,Megatron,17
403,4,red,captain,,2624,-iG-SpAwN-,17
404,5,blue,captain,,1884,The Revelation,17
405,6,red,captain,,2542,-iG-SeNsaTi0nZ-,17
406,7,red,captain,,2080,Kaiju,17
407,8,red,captain,,2073,ONE WINGED ANGEL,17
408,9,purple,lieutenant,,505,Krusty The Clown,17
409,10,purple,lieutenant,,504,Homer J Simpson,17
410,11,purple,lieutenant,,2823,This Guy Again,17
411,12,red,lieutenant,,2819,perfect10n-16,17
412,13,purple,lieutenant,,1123,rainfall,17
413,14,red,lieutenant,,2604,ONE LAST CIGARETTE,17
414,15,red,lieutenant,,2812,Peyton Manning,17
415,16,purple,lieutenant,,1530,- Neon -,17
416,17,orange,lieutenant,,580,- Iodine -,17
417,18,red,lieutenant,,782,Viper202,17
418,19,red,lieutenant,,850,AMBUSH,17
419,20,red,lieutenant,,2625,-iG- Johnny-,17
420,21,purple,lieutenant,,1066,FeaR mE,17
421,22,red,lieutenant,,547,heathen,17
422,23,purple,lieutenant,,2821,Forty6n2,17
423,24,orange,lieutenant,,760,Thundercracker,17
424,25,orange,lieutenant,,2703,- Sodium -,17
425,1,purple,captain,,505,Krusty The Clown,18
426,2,blue,captain,,749,Megatron,18
427,3,red,captain,,2479,LOVE,18
428,4,purple,captain,,2862,FrostY ThE SnowmaN,18
429,5,purple,captain,,1422,Groundskeeper Willie,18
430,6,red,captain,,2624,-iG-SpAwN-,18
431,7,purple,captain,,1123,rainfall,18
432,8,orange,captain,,2703,- Sodium -,18
433,9,blue,lieutenant,,2860,Captain Kirk,18
434,10,red,lieutenant,,2861,BLUNTZYBLUNTZ,18
435,11,orange,lieutenant,,578,- Neptunium -,18
436,12,purple,lieutenant,,2604,ONE LAST CIGARETTE,18
437,13,orange,lieutenant,,2856,Spotlight,18
438,14,purple,lieutenant,,1213,KiLLer N,18
439,15,red,lieutenant,,850,AMBUSH,18
440,16,red,lieutenant,,1514,ZEMA,18
441,17,blue,lieutenant,,1884,The Revelation,18
442,18,purple,lieutenant,,1066,FeaR mE,18
443,19,blue,lieutenant,,2056,Provoked Killer,18
444,20,orange,lieutenant,,1774,antdoggg,18
445,21,red,corporal,,1,red-1,18
446,22,red,corporal,,2,red-2,18
447,23,purple,corporal,,10,purple-1,18
448,24,purple,corporal,,11,purple-2,18
449,25,blue,corporal,,19,blue-1,18
450,1,purple,major,,2624,-iG-SpAwN-,19
451,2,purple,captain,,2839,UNFORGIVABLE,19
452,3,purple,captain,,741,Shockwave,19
453,4,blue,captain,,1175,Sludge,19
454,5,purple,captain,,504,Homer J Simpson,19
455,6,orange,captain,,1530,- Neon -,19
456,7,purple,captain,,2731,Islam Brings C4,19
457,8,blue,lieutenant,,2864,Alex Morgan,19
458,9,purple,lieutenant,,1422,Groundskeeper Willie,19
459,10,purple,lieutenant,,1486,MERCY,19
460,11,purple,lieutenant,,2033,PURPLE KUSH,19
461,12,orange,lieutenant,,580,- Iodine -,19
462,13,purple,lieutenant,,2073,ONE WINGED ANGEL,19
463,14,purple,lieutenant,,1066,FeaR mE,19
464,15,red,lieutenant,,2554,exhibition,19
465,16,purple,lieutenant,,2187,cr0wnz,19
466,17,orange,lieutenant,,558,- Titanium -,19
467,18,orange,lieutenant,,569,Mommy,19
468,19,blue,lieutenant,,968,Grimlock,19
469,20,red,lieutenant,,2604,ONE LAST CIGARETTE,19
470,21,purple,lieutenant,,1774,antdoggg,19
471,22,red,lieutenant,,2412,USA NEEDS REFORM,19
472,23,blue,lieutenant,,2881,Green-1,19
473,24,purple,lieutenant,,1231,I Broke It,19
474,25,red,lieutenant,,2466,BASEDGOD,19
475,1,orange,major,,2856,Spotlight,20
476,2,red,captain,,2274,RECONNAISSANCE,20
477,3,orange,captain,,1258,- Iron -,20
478,4,purple,captain,,2625,-iG- Johnny-,20
479,5,red,captain,,2145,- Ununoctium -,20
480,6,blue,captain,,1175,Sludge,20
481,7,purple,captain,,1677,Islam Brings Peace,20
482,8,purple,captain,,1712,Professor Frink,20
483,9,purple,captain,,1006,BEASTGOD,20
484,10,orange,captain,,2537,VaRi0uS,20
485,11,red,lieutenant,,1486,MERCY,20
486,12,blue,lieutenant,,749,Megatron,20
487,13,red,lieutenant,,741,Shockwave,20
488,14,red,lieutenant,,1123,rainfall,20
489,15,red,lieutenant,,1945,TUNDRA WOLF,20
490,16,blue,lieutenant,,746,Optimus Prime,20
491,17,orange,lieutenant,,1530,- Neon -,20
492,18,blue,lieutenant,,968,Grimlock,20
493,19,purple,lieutenant,,1471,SGT SLAUGHTER,20
494,20,red,lieutenant,,2929,Srr0x,20
495,21,red,lieutenant,,2542,-iG-SeNsaTi0nZ-,20
496,22,blue,lieutenant,,555,Vapor,20
497,23,red,lieutenant,,1062,Omega Red X,20
498,24,purple,lieutenant,,504,Homer J Simpson,20
499,25,blue,lieutenant,,2879,Rezikj,20
500,1,blue,major,,2857,Jean Grey,21
501,2,purple,captain,,1422,Groundskeeper Willie,21
502,3,purple,captain,,746,Optimus Prime,21
503,4,red,captain,,2604,ONE LAST CIGARETTE,21
504,5,red,captain,,2542,-iG-SeNsaTi0nZ-,21
505,6,red,captain,,2073,ONE WINGED ANGEL,21
506,7,red,captain,,1062,Omega Red X,21
507,8,red,captain,,2894,Jackz,21
508,9,red,lieutenant,,2145,- Ununoctium -,21
509,10,red,lieutenant,,1597,GLORY,21
510,11,red,lieutenant,,1123,rainfall,21
511,12,red,lieutenant,,850,AMBUSH,21
512,13,purple,lieutenant,,1006,BEASTGOD,21
513,14,blue,lieutenant,,749,Megatron,21
514,15,red,lieutenant,,1029,PITBULL,21
515,16,purple,lieutenant,,2990,-HATERZ-,21
516,17,purple,lieutenant,,2625,-iG- Johnny-,21
517,18,orange,lieutenant,,569,Mommy,21
518,19,red,lieutenant,,2881,Green-1,21
519,20,red,lieutenant,,2975,iWant2FukEva,21
520,21,blue,lieutenant,,2991,STEALTH,21
521,22,orange,lieutenant,,2633,Charles Darwin,21
522,23,red,sergeant,,1862,tip a cow,21
523,24,purple,sergeant,,2663,- HumiliatioN -,21
524,25,red,sergeant,,2992,TitanReign,21
525,1,purple,captain,,2625,-iG- Johnny-,22
526,2,purple,captain,,3059,-SlasheR-,22
527,3,purple,captain,,3057,Zenta,22
528,4,purple,captain,,1006,BEASTGOD,22
529,5,purple,captain,,1890,Waylon Smithers,22
530,6,red,captain,,2991,STEALTH,22
531,7,purple,captain,,1774,antdoggg,22
532,8,purple,captain,,2073,ONE WINGED ANGEL,22
533,9,purple,lieutenant,,806,Devastator,22
534,10,red,lieutenant,,2819,perfect10n-16,22
535,11,purple,lieutenant,,1123,rainfall,22
536,12,purple,lieutenant,,1268,Ned Flanders,22
537,13,orange,lieutenant,,2855,Haiku Warriors,22
538,14,red,lieutenant,,3054,-KH- Xigbar -,22
539,15,blue,lieutenant,,2173,Lone Wolf,22
540,16,purple,lieutenant,,3058,Fat Tony,22
541,17,purple,lieutenant,,2458,Slight Work,22
542,18,red,lieutenant,,2881,Green-1,22
543,19,red,lieutenant,,547,heathen,22
544,20,purple,lieutenant,,2025,boogyman,22
545,21,red,lieutenant,,2537,VaRi0uS,22
546,22,purple,lieutenant,,1231,I Broke It,22
547,23,red,lieutenant,,2739,zzZZzz,22
548,24,orange,sergeant,,1175,Sludge,22
549,25,red,sergeant,,1062,Omega Red X,22
550,1,red,major,,2145,- Ununoctium -,23
551,2,red,major,,2991,STEALTH,23
552,3,blue,major,,2542,-iG-SeNsaTi0nZ-,23
553,4,purple,captain,,3025,Eat my mineS,23
554,5,red,captain,,1677,Islam Brings Peace,23
555,6,purple,captain,,1712,Professor Frink,23
556,7,purple,captain,,3083,THE iNCREDiBLE HULK,23
557,8,purple,lieutenant,,3093,Maude Flanders,23
558,9,red,lieutenant,,2718,La Triviata,23
559,10,red,lieutenant,,1123,rainfall,23
560,11,purple,lieutenant,,1006,BEASTGOD,23
561,12,purple,lieutenant,,1268,Ned Flanders,23
562,13,red,lieutenant,,1062,Omega Red X,23
563,14,red,lieutenant,,3087,Blazin Asian,23
564,15,red,lieutenant,,2073,ONE WINGED ANGEL,23
565,16,purple,lieutenant,,1050,Vortex,23
566,17,red,lieutenant,,2739,zzZZzz,23
