id,tourney_id,map,start_time,duration
300,307,Levels,2014-08-06 17:00:00,1.0
301,308,Metropolis,2014-08-09 19:00:00,1.0
302,309,Desert,2014-08-10 17:00:00,1.0
303,310,Crazy Waters,2014-08-12 19:00:00,1.0
304,311,Atlantis,2014-08-16 03:00:00,1.0
305,312,The Nile,2014-08-17 01:00:00,1.0
306,313,Aquarium,2014-08-20 16:00:00,1.0
307,314,The Pit,2014-08-22 20:00:00,1.0
308,315,Tron,2014-08-23 21:00:00,1.0
309,316,Elements,2014-08-25 21:00:00,1.0
310,317,Foundry,2014-08-30 14:00:00,1.0
311,318,Orbital,2014-08-31 17:00:00,1.0
312,319,Foundry,2014-09-01 20:00:00,1.0
313,320,Orbital,2014-09-05 20:00:00,1.0
314,321,Rocks and Swamp,2014-09-07 16:00:00,2.0
315,322,Crazy Maze,2014-09-10 22:00:00,1.0
316,323,Appaloosa Land,2014-09-13 00:00:00,1.0
317,324,Castles,2014-09-14 09:00:00,1.0
318,325,Desert,2014-09-18 18:00:00,1.0
319,326,Iceland,2014-09-19 21:00:00,1.5
320,327,Rocks and Swamp,2014-09-21 02:00:00,1.0
321,328,Deep Six,2014-09-21 18:00:00,1.0
322,329,Levels,2014-09-23 19:00:00,1.0
323,330,Metropolis,2014-09-27 19:00:00,1.0
324,331,Crazy Waters,2014-09-28 17:00:00,1.5
325,332,Levels,2014-10-02 17:00:00,1.0
326,333,Metropolis,2014-10-04 02:00:00,1.0
327,334,Crazy Waters,2014-10-05 16:00:00,1.0
328,335,Atlantis,2014-10-08 19:00:00,1.0
329,336,The Nile,2014-10-11 18:00:00,2.0
330,337,Aquarium,2014-10-12 19:00:00,1.0
331,338,Desert,2014-10-13 14:00:00,1.0
332,339,The Pit,2014-10-14 16:00:00,1.0
333,340,Tron,2014-10-17 20:00:00,1.0
334,341,Elements,2014-10-19 04:00:00,1.0
335,342,Foundry,2014-10-20 22:00:00,1.0
336,343,Orbital,2014-10-25 17:00:00,1.0
337,344,Rocks and Swamp,2014-10-26 13:00:00,1.0
338,345,Crazy Maze,2014-10-27 20:00:00,1.0
339,346,Appaloosa Land,2014-10-31 21:00:00,1.0
340,347,Appaloosa Land,2014-11-01 03:00:00,2.0
341,348,Castles,2014-11-01 22:00:00,1.0
342,349,Desert,2014-11-03 23:00:00,1.0
343,350,Iceland,2014-11-08 15:00:00,1.0
344,351,Deep Six,2014-11-09 19:00:00,1.0
345,352,Levels,2014-11-12 17:00:00,1.0
346,353,Metropolis,2014-11-15 14:00:00,1.0
347,354,Crazy Waters,2014-11-15 20:00:00,1.0
348,355,Atlantis,2014-11-18 20:00:00,1.0
349,356,The Nile,2014-11-22 18:00:00,1.0
350,357,Aquarium,2014-11-23 17:00:00,1.0
351,358,The Pit,2014-11-27 16:00:00,1.0
352,359,Tron,2014-11-29 13:00:00,1.0
353,360,Elements,2014-11-30 16:00:00,1.0
354,361,Elements,2014-12-02 20:00:00,1.0
355,362,Foundry,2014-12-06 05:00:00,1.0
356,363,Orbital,2014-12-06 21:00:00,1.0
357,364,The Pit,2014-12-07 18:00:00,1.0
358,365,Rocks and Swamp,2014-12-10 17:00:00,1.0
359,366,Crazy Maze,2014-12-13 19:00:00,1.5
360,367,Appaloosa Land,2014-12-14 15:00:00,2.0
361,368,Castles,2014-12-18 18:00:00,1.0
362,369,Desert,2014-12-19 20:00:00,1.0
363,370,The Pit,2014-12-20 19:00:00,1.0
364,371,Iceland,2014-12-21 03:00:00,1.0
365,372,Rocks and Swamp,2014-12-23 03:00:00,1.0
366,373,Deep Six,2014-12-24 15:00:00,1.0
367,374,Desert,2014-12-25 18:00:00,1.0
368,375,Canada,2014-12-26 11:00:00,1.0
369,376,Levels,2014-12-27 18:00:00,1.0
370,377,Metropolis,2014-12-28 00:00:00,1.5
371,378,Rocks and Swamp,2014-12-29 01:00:00,1.0
372,379,Desert,2014-12-31 19:00:00,1.0
373,380,Rocks and Swamp,2015-01-01 05:00:00,1.0
374,381,Iceland,2015-01-03 13:00:00,1.0
375,382,Deep Six,2015-01-04 09:00:00,1.0
376,383,Levels,2015-01-07 21:00:00,1.0
377,384,Metropolis,2015-01-09 20:00:00,1.0
378,385,Crazy Waters,2015-01-11 02:00:00,1.0
379,386,Atlantis,2015-01-13 20:00:00,1.0
380,387,The Nile,2015-01-17 15:00:00,1.0
381,388,Aquarium,2015-01-18 16:00:00,1.0
382,389,Desert,2015-01-19 18:45:00,1.0
383,390,The Pit,2015-01-22 18:00:00,1.0
384,391,Tron,2015-01-24 23:00:00,1.0
385,392,Elements,2015-01-25 11:00:00,1.0
386,393,Foundry,2015-01-29 19:00:00,1.0
387,394,Orbital,2015-01-31 16:00:00,1.0
388,395,Rocks and Swamp,2015-02-01 12:00:00,1.0
389,396,Levels,2015-02-02 13:00:00,1.0
390,397,Crazy Maze,2015-02-04 22:00:00,1.0
391,398,Appaloosa Land,2015-02-07 23:30:00,1.0
392,399,Castles,2015-02-08 22:00:00,1.0
393,400,Desert,2015-02-10 23:00:00,1.0
394,401,Iceland,2015-02-13 01:00:00,1.0
395,402,Deep Six,2015-02-14 15:00:00,1.0
396,403,Levels,2015-02-16 21:30:00,1.0
397,404,Metropolis,2015-02-21 23:00:00,1.0
398,405,Crazy Waters,2015-02-22 11:30:00,1.0
399,406,Atlantis,2015-02-23 22:00:00,1.0
400,407,The Nile,2015-02-25 22:00:00,1.0
401,408,Aquarium,2015-02-28 02:00:00,1.0
402,409,The Pit,2015-02-28 18:00:00,1.0
403,410,Tron,2015-03-01 18:00:00,1.0
404,411,Elements,2015-03-04 21:00:00,1.0
405,412,Foundry,2015-03-07 20:00:00,2.0
406,413,Orbital,2015-03-08 18:00:00,1.0
407,414,Rocks and Swamp,2015-03-11 19:00:00,1.0
408,415,Crazy Maze,2015-03-14 09:30:00,1.0
409,416,Appaloosa Land,2015-03-15 04:00:00,1.0
410,417,Castles,2015-03-17 18:00:00,1.0
411,418,Desert,2015-03-21 15:00:00,1.0
412,419,Iceland,2015-03-22 16:00:00,1.0
413,420,Deep Six,2015-03-26 16:00:00,1.0
414,421,Levels,2015-03-28 21:00:00,1.0
415,422,Metropolis,2015-03-30 01:00:00,1.0
416,423,Levels,2015-04-01 19:00:00,1.0
417,424,Metropolis,2015-04-04 18:00:00,1.0
418,425,Crazy Waters,2015-04-05 14:00:00,1.0
419,426,Atlantis,2015-04-09 16:00:00,1.0
420,427,The Nile,2015-04-10 20:00:00,1.0
421,428,Aquarium,2015-04-12 15:00:00,1.0
422,429,The Pit,2015-04-15 23:00:00,1.0
423,430,Tron,2015-04-17 21:00:00,2.0
424,431,Desert,2015-04-18 18:00:00,1.0
425,432,Elements,2015-04-19 16:00:00,1.0
426,433,Foundry,2015-04-21 22:00:00,1.0
427,434,Orbital,2015-04-25 08:00:00,1.5
428,435,Rocks and Swamp,2015-04-26 03:00:00,1.0
429,436,Crazy Maze,2015-04-29 19:00:00,1.0
430,437,Appaloosa Land,2015-05-02 02:00:00,1.0
431,438,Castles,2015-05-02 21:00:00,1.0
432,439,Desert,2015-05-05 18:00:00,1.0
433,440,Iceland,2015-05-09 16:00:00,1.0
434,441,Deep Six,2015-05-10 23:00:00,1.0
435,442,Levels,2015-05-13 20:00:00,1.0
436,443,Metropolis,2015-05-16 19:00:00,1.0
437,444,Crazy Waters,2015-05-17 20:00:00,1.0
438,445,Atlantis,2015-05-19 19:00:00,1.0
439,446,The Nile,2015-05-23 18:00:00,1.5
440,447,Aquarium,2015-05-24 15:00:00,1.0
441,448,The Pit,2015-05-28 17:00:00,1.0
442,449,Tron,2015-05-30 12:00:00,1.0
443,450,Elements,2015-05-31 07:00:00,1.0
444,451,Foundry,2015-06-02 21:00:00,1.0
445,452,Orbital,2015-06-05 22:30:00,1.0
446,453,Rocks and Swamp,2015-06-06 21:00:00,1.0
447,454,Crazy Maze,2015-06-07 14:30:00,1.0
448,455,Appaloosa Land,2015-06-10 20:30:00,1.0
449,456,Castles,2015-06-12 22:00:00,1.0
450,457,Desert,2015-06-13 23:00:00,1.0
451,458,Iceland,2015-06-14 17:00:00,1.0
452,459,Deep Six,2015-06-18 21:00:00,1.0
453,460,Levels,2015-06-20 16:30:00,1.0
454,461,Metropolis,2015-06-21 20:00:00,1.5
455,462,Crazy Waters,2015-06-25 21:30:00,1.0
456,463,Atlantis,2015-06-27 14:00:00,1.0
457,464,The Nile,2015-06-28 23:00:00,1.0
458,465,Aquarium,2015-07-02 21:30:00,1.0
459,466,The Pit,2015-07-04 13:30:00,1.0
460,467,Tron,2015-07-05 23:00:00,1.0
461,468,Elements,2015-07-07 21:30:00,1.0
462,469,Foundry,2015-07-10 22:00:00,1.0
463,470,Orbital,2015-07-11 14:00:00,1.0
464,471,Rocks and Swamp,2015-07-12 23:30:00,1.0
465,472,Crazy Maze,2015-07-15 21:30:00,1.0
466,473,Appaloosa Land,2015-07-18 17:00:00,1.5
467,474,Castles,2015-07-19 16:00:00,1.0
468,475,Desert,2015-07-21 21:00:00,1.0
469,476,Iceland,2015-07-24 22:30:00,1.0
470,477,Deep Six,2015-07-25 20:00:00,1.0
471,478,Levels,2015-07-26 17:00:00,1.0
472,479,Metropolis,2015-07-30 21:00:00,1.0
473,480,Metropolis,2015-08-01 14:00:00,1.5
474,481,Crazy Waters,2015-08-02 15:30:00,1.0
475,482,Atlantis,2015-08-05 21:00:00,1.0
476,483,The Nile,2015-08-08 17:00:00,1.0
477,484,Aquarium,2015-08-09 18:00:00,1.0
478,485,The Pit,2015-08-11 21:30:00,1.0
479,486,Tron,2015-08-15 13:00:00,1.0
480,487,Elements,2015-08-16 17:30:00,1.5
481,488,Foundry,2015-08-20 21:30:00,1.0
482,489,Orbital,2015-08-22 22:30:00,1.0
483,490,Rocks and Swamp,2015-08-23 14:00:00,1.0
484,491,Crazy Maze,2015-08-25 20:30:00,1.0
485,492,Appaloosa Land,2015-08-30 00:00:00,1.0
486,493,Castles,2015-08-30 13:30:00,1.0
487,494,Desert,2015-09-02 21:00:00,1.0
488,495,Iceland,2015-09-06 00:00:00,1.0
489,496,Deep Six,2015-09-06 17:30:00,1.0
490,497,Rocks and Swamp,2015-09-07 18:00:00,1.0
491,498,Levels,2015-09-08 20:30:00,1.0
492,499,Metropolis,2015-09-12 13:00:00,1.0
493,500,Crazy Waters,2015-09-13 22:00:00,1.0
494,501,Atlantis,2015-09-17 19:30:00,1.0
495,502,The Nile,2015-09-19 18:30:00,1.5
496,503,Aquarium,2015-09-20 14:30:00,1.0
497,504,The Pit,2015-09-23 20:30:00,1.0
498,505,Tron,2015-09-26 21:00:00,1.0
499,506,Elements,2015-09-27 15:00:00,1.0
500,507,Foundry,2015-09-29 18:00:00,1.0
501,508,Orbital,2015-10-03 16:00:00,1.0
502,509,Rocks and Swamp,2015-10-04 17:00:00,1.0
503,510,Crazy Maze,2015-10-08 20:30:00,1.0
504,511,Appaloosa Land,2015-10-11 00:00:00,1.0
505,512,Castles,2015-10-11 18:00:00,1.0
506,513,Desert,2015-10-13 21:30:00,1.0
507,514,Iceland,2015-10-17 20:00:00,1.5
508,515,Deep Six,2015-10-18 23:00:00,1.0
509,516,Levels,2015-10-21 21:00:00,1.0
510,517,Metropolis,2015-10-24 16:30:00,1.0
511,518,Crazy Waters,2015-10-25 16:30:00,1.0
512,519,Atlantis,2015-10-28 20:30:00,1.0
513,520,The Nile,2015-10-31 19:00:00,1.0
514,521,The Pit,2015-11-01 18:00:00,1.0
515,522,Aquarium,2015-11-05 21:30:00,1.0
516,523,The Pit,2015-11-08 00:00:00,1.0
517,524,Tron,2015-11-08 19:00:00,1.0
518,525,Elements,2015-11-11 21:30:00,1.0
